tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok
fig1-3 W1-P0X-r790000-p64 P0X W1 790000 64 1 0 790000 374352 0.483 59.5 1284.5 2150.5 3329.5 - - - 2380907 1324 1295 510.9 235.6 30.55 0.00 0.00 0 0
fig1-3 W1-P0X-r790000-p64 P0X W1 790000 64 2 0 790000 284475 0.358 19.5 78.5 436.5 567.5 - - - 155 1631 1705 619.5 285.7 30.56 0.00 0.00 0 0
fig1-3 W1-P0X-r790000-p64 P0X W1 790000 64 3 0 790000 317456 0.403 579.5 2022.5 3422.5 4041.5 - - - 5595571 1392 1528 464.4 214.2 30.56 0.00 0.00 0 0
fig1-3 W1-P2-r1050000-p64 P2 W1 1050000 64 1 0 1050000 164013 0.155 84.5 2604.5 3396.5 3714.5 - - - 2753150 2321 1076 471.0 217.3 30.56 0.00 11.11 0 0
fig1-3 W1-P2-r1050000-p64 P2 W1 1050000 64 2 0 1050000 158507 0.151 95.5 2783.5 3451.5 3747.5 - - - 3659620 1925 1095 472.2 217.9 30.58 0.00 10.94 0 0
fig1-3 W1-P2-r1050000-p64 P2 W1 1050000 64 3 0 1050000 210986 0.203 104.5 2880.5 3495.5 3766.5 - - - 7488334 1276 876 454.1 209.5 30.57 0.00 11.65 0 0
fig1-3 W1-P2-r130000-p64 P2 W1 130000 64 1 0 130000 51907 0.399 102.5 214.5 256.5 269.5 - - - 0 1255 1041 470.9 217.7 8.46 0.00 3.40 1 0
fig1-3 W1-P2-r130000-p64 P2 W1 130000 64 2 0 130000 77475 0.600 109.5 158.5 182.5 193.5 - - - 0 1238 787 469.8 217.0 7.45 0.00 3.84 1 0
fig1-3 W1-P2-r130000-p64 P2 W1 130000 64 3 0 130000 51904 0.399 77.5 111.5 121.5 148.5 - - - 0 1427 1119 473.9 219.1 9.52 0.00 3.66 1 0
fig1-3 W1-P2-r1300000-p64 P2 W1 1300000 64 1 0 1300000 161368 0.123 86.5 2677.5 3423.5 3738.5 - - - 3056895 2166 848 469.8 216.8 30.57 0.00 8.63 0 0
fig1-3 W1-P2-r1300000-p64 P2 W1 1300000 64 2 0 1300000 169071 0.129 86.5 1666.5 3284.5 3690.5 - - - 1841932 2045 765 487.7 225.0 30.57 0.00 8.15 0 0
fig1-3 W1-P2-r1300000-p64 P2 W1 1300000 64 3 0 1300000 160235 0.125 92.5 2725.5 3449.5 3751.5 - - - 2776997 2191 660 474.0 218.7 30.56 0.00 6.67 0 0
fig1-3 W1-P2-r390000-p64 P2 W1 390000 64 1 0 390000 232432 0.600 196.5 355.5 445.5 465.5 - - - 0 831 795 442.0 203.9 24.29 0.00 11.64 1 0
fig1-3 W1-P2-r390000-p64 P2 W1 390000 64 2 0 390000 155723 0.399 100.5 321.5 404.5 492.5 - - - 0 1308 1161 463.8 214.0 22.61 0.00 11.39 1 0
fig1-3 W1-P2-r390000-p64 P2 W1 390000 64 3 0 390000 155726 0.399 180.5 348.5 426.5 522.5 - - - 0 1002 1233 453.4 209.2 24.33 0.00 12.10 1 0
fig1-3 W1-P2-r525000-p64 P2 W1 525000 64 1 0 525000 226977 0.441 101.5 2458.5 3320.5 3650.5 - - - 4809295 1416 707 460.6 212.5 30.58 0.00 10.11 0 0
fig1-3 W1-P2-r525000-p64 P2 W1 525000 64 2 0 525000 228727 0.440 102.5 2460.5 3345.5 3703.5 - - - 4932391 1351 646 457.0 210.8 30.58 0.00 9.31 0 0
fig1-3 W1-P2-r525000-p64 P2 W1 525000 64 3 0 525000 166436 0.317 89.5 2401.5 3324.5 3687.5 - - - 2394054 2104 802 470.6 217.1 30.58 0.00 8.41 0 0
fig1-3 W1-P2-r790000-p64 P2 W1 790000 64 1 0 790000 176933 0.224 89.5 127.5 138.5 143.5 - - - 7167 1764 392 488.4 225.3 30.57 0.00 4.36 0 0
fig1-3 W1-P2-r790000-p64 P2 W1 790000 64 2 0 790000 158793 0.200 101.5 2743.5 3419.5 3722.5 - - - 3485933 1745 1047 469.2 216.5 30.58 0.00 10.47 0 0
fig1-3 W1-P2-r790000-p64 P2 W1 790000 64 3 0 790000 214256 0.273 96.5 2871.5 3539.5 3799.5 - - - 7024700 1520 878 454.4 209.6 30.57 0.00 11.85 0 0
fig1-3 W1-P3-r1050000-p64 P3 W1 1050000 64 1 0 1050000 15 0.001 26.5 83.5 137.5 155.5 - - - 0 2168 3651 741.3 364.5 0.04 0.00 0.00 0 0
fig1-3 W1-P3-r1050000-p64 P3 W1 1050000 64 2 0 1050000 3 0.001 44.5 153.5 207.5 207.5 - - - 0 2983 19842 880.5 434.1 0.03 0.00 0.00 0 0
fig1-3 W1-P3-r1050000-p64 P3 W1 1050000 64 3 0 630000 7 0.001 27.5 47.5 64.5 73.5 - - - 5732 2494 48398 851.9 479.4 0.12 0.00 0.02 0 0
fig1-3 W1-P3-r130000-p64 P3 W1 130000 64 1 0 130000 51914 0.399 18.5 39.5 121.5 324.5 - - - 0 1925 2029 693.7 320.4 6.34 0.00 6.63 1 0
fig1-3 W1-P3-r130000-p64 P3 W1 130000 64 2 0 130000 77497 0.600 19.5 33.5 180.5 326.5 - - - 0 1640 1354 622.6 287.4 6.41 0.00 6.61 1 0
fig1-3 W1-P3-r130000-p64 P3 W1 130000 64 3 0 130000 51904 0.399 17.5 27.5 42.5 210.5 - - - 0 1650 1958 639.3 295.3 5.97 0.00 6.40 1 0
fig1-3 W1-P3-r1300000-p64 P3 W1 1300000 64 1 0 1300000 0 0.000 0.5 0.5 0.5 0.5 - - - 0 9135 367 7060.0 5137.0 0.02 0.00 0.00 0 0
fig1-3 W1-P3-r1300000-p64 P3 W1 1300000 64 2 0 1300000 7 0.001 22.5 60.5 160.5 161.5 - - - 0 2321 0 742.5 374.6 0.05 0.00 0.00 0 0
fig1-3 W1-P3-r1300000-p64 P3 W1 1300000 64 3 0 1300000 0 0.002 0.5 0.5 0.5 0.5 - - - 241 1678 482 595.9 286.0 0.10 0.00 0.00 0 0
fig1-3 W1-P3-r390000-p64 P3 W1 390000 64 1 0 390000 232482 0.600 19.5 37.5 85.5 151.5 - - - 347 1602 1337 615.0 283.7 19.12 0.00 19.58 1 0
fig1-3 W1-P3-r390000-p64 P3 W1 390000 64 2 0 390000 155720 0.399 18.5 39.5 79.5 136.5 - - - 0 2345 2096 734.3 338.7 22.08 0.00 20.56 1 0
fig1-3 W1-P3-r390000-p64 P3 W1 390000 64 3 0 390000 232468 0.600 35.5 170.5 348.5 403.5 - - - 0 1517 1433 548.0 252.8 23.12 0.00 20.99 1 0
fig1-3 W1-P3-r525000-p64 P3 W1 525000 64 1 0 525000 301653 0.581 184.5 1195.5 2143.5 2744.5 - - - 709996 1557 1441 544.9 251.3 28.98 0.00 27.38 1 0
fig1-3 W1-P3-r525000-p64 P3 W1 525000 64 2 0 525000 209690 0.399 21.5 107.5 494.5 757.5 - - - 21 2318 2140 717.9 331.1 30.25 0.00 28.26 1 0
fig1-3 W1-P3-r525000-p64 P3 W1 525000 64 3 0 525000 1 0.019 31.5 52.5 67.5 67.5 - - - 0 1778 8103863 562.6 262.5 0.31 0.00 0.26 0 0
fig1-3 W1-P3-r790000-p64 P3 W1 790000 64 1 0 790000 22 0.007 43.5 107.5 151.5 182.5 - - - 0 1613 0 614.3 288.6 0.01 0.00 0.00 0 0
fig1-3 W1-P3-r790000-p64 P3 W1 790000 64 3 0 790000 40 0.002 30.5 70.5 148.5 162.5 - - - 0 2392 2957 766.5 374.1 0.03 0.00 0.01 0 0
fig1-3 W1-P4-r1050000-p64 P4 W1 1050000 64 1 0 1050000 23 0.002 33.5 164.5 359.5 416.5 - - - 0 2214 2295 767.3 372.0 0.05 0.00 0.00 0 0
fig1-3 W1-P4-r1050000-p64 P4 W1 1050000 64 2 0 1050000 2 0.001 32.5 105.5 117.5 117.5 - - - 0 2232 30935 846.3 434.3 0.05 0.00 0.00 0 0
fig1-3 W1-P4-r1050000-p64 P4 W1 1050000 64 3 0 1050000 0 0.002 135.5 135.5 135.5 135.5 - - - 0 2087 814513 754.5 365.6 0.04 0.00 0.00 0 0
fig1-3 W1-P4-r130000-p64 P4 W1 130000 64 3 0 130000 51139 0.400 14.5 24.5 40.5 57.5 - - - 0 1184 1686 552.9 255.5 5.53 0.00 5.43 1 0
fig1-3 W1-P4-r1300000-p64 P4 W1 1300000 64 2 0 1300000 5 0.000 27.5 209.5 342.5 342.5 - - - 0 25243 6145 23678.0 18189.2 0.06 0.00 0.00 0 0
fig1-3 W1-P4-r1300000-p64 P4 W1 1300000 64 3 0 1300000 0 0.001 0.5 0.5 0.5 0.5 - - - 0 2242 0 802.7 398.1 0.03 0.00 0.00 0 0
fig1-3 W1-P4-r390000-p64 P4 W1 390000 64 1 0 390000 155632 0.399 19.5 38.5 101.5 284.5 - - - 0 1641 1787 619.4 285.7 16.98 0.00 17.52 1 0
fig1-3 W1-P4-r390000-p64 P4 W1 390000 64 2 0 390000 155670 0.399 16.5 23.5 49.5 134.5 - - - 0 1290 1668 554.0 255.6 14.30 0.00 16.36 1 0
fig1-3 W1-P4-r390000-p64 P4 W1 390000 64 3 0 390000 232443 0.600 18.5 43.5 89.5 135.5 - - - 0 1398 1181 592.0 273.0 17.78 0.00 17.30 1 0
fig1-3 W1-P4-r525000-p64 P4 W1 525000 64 1 0 525000 311250 0.597 54.5 359.5 1421.5 1749.5 - - - 105868 1363 1189 483.9 223.2 25.74 0.00 23.32 1 0
fig1-3 W1-P4-r525000-p64 P4 W1 525000 64 2 0 525000 209607 0.399 22.5 65.5 186.5 342.5 - - - 0 1526 1728 581.7 268.3 23.29 0.00 22.82 1 0
