tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok
fig1-3b W1-P2-r790000-p64 P2 W1 790000 64 2 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 1187303 -1.0 -1.0 0.00 0.00 0.00 0 0
fig1-3b W1-P2-r790000-p64 P2 W1 790000 64 3 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 0 -1.0 -1.0 0.00 0.00 0.00 0 0
fig1-3b W1-P3-r1050000-p64 P3 W1 1050000 64 1 0 1050000 27 0.006 26.5 47.5 91.5 113.5 - - - 1 1506 2578 535.5 251.9 0.00 0.00 0.00 0 0
fig1-3b W1-P3-r1050000-p64 P3 W1 1050000 64 2 0 1050000 29 0.006 18.5 42.5 71.5 89.5 - - - 1 1500 2062 514.0 242.0 0.02 0.00 0.00 0 0
fig1-3b W1-P3-r1050000-p64 P3 W1 1050000 64 3 0 1050000 98 0.008 16.5 30.5 72.5 98.5 - - - 1 1130 610 530.0 247.9 0.04 0.00 0.00 0 0
fig1-3b W1-P3-r130000-p64 P3 W1 130000 64 1 0 130000 129393 1.005 17.5 26.5 31.5 39.5 - - - 1 1489 1 584.3 269.6 13.10 0.00 0.00 1 1
fig1-3b W1-P3-r130000-p64 P3 W1 130000 64 2 1 130000 129375 0.999 14.5 25.5 84.5 237.5 - - - 1 1238 0 558.1 257.5 8.71 0.00 0.00 1 1
fig1-3b W1-P3-r130000-p64 P3 W1 130000 64 3 1 130000 129386 0.999 15.5 26.5 31.5 153.5 - - - 1 1430 1 571.7 263.8 11.54 0.00 0.00 1 1
fig1-3b W1-P3-r1300000-p64 P3 W1 1300000 64 1 0 1300000 67 0.006 20.5 43.5 74.5 83.5 - - - 1 1154 950 524.9 245.9 0.01 0.00 0.00 0 0
fig1-3b W1-P3-r1300000-p64 P3 W1 1300000 64 2 0 1300000 59 0.005 18.5 63.5 96.5 118.5 - - - 1 1259 1083 550.8 258.9 0.04 0.00 0.00 0 0
fig1-3b W1-P3-r1300000-p64 P3 W1 1300000 64 3 0 1300000 58 0.005 18.5 59.5 94.5 119.5 - - - 1 1485 1202 564.8 265.6 0.02 0.00 0.00 0 0
fig1-3b W1-P3-r390000-p64 P3 W1 390000 64 1 1 390000 388131 0.999 17.5 26.5 30.5 34.5 - - - 1 1461 0 567.7 261.8 33.44 0.00 0.00 1 1
fig1-3b W1-P3-r390000-p64 P3 W1 390000 64 2 1 390000 388174 0.999 17.5 26.5 30.5 35.5 - - - 1 1449 0 544.5 251.1 33.46 0.00 0.00 1 1
fig1-3b W1-P3-r390000-p64 P3 W1 390000 64 3 1 390000 388202 0.999 17.5 27.5 32.5 38.5 - - - 4 1488 0 559.3 257.9 34.30 0.00 0.01 1 1
fig1-3b W1-P3-r525000-p64 P3 W1 525000 64 1 0 525000 205468 0.463 18.5 27.5 31.5 34.5 - - - 1 1482 0 535.3 246.9 18.93 0.00 0.00 0 0
fig1-3b W1-P3-r525000-p64 P3 W1 525000 64 2 0 525000 522483 1.001 18.5 27.5 31.5 34.5 - - - 1 1479 0 534.6 246.5 46.47 0.00 0.01 1 1
fig1-3b W1-P3-r525000-p64 P3 W1 525000 64 3 1 525000 522544 0.999 17.5 27.5 31.5 36.5 - - - 1 1501 0 554.1 255.5 46.56 0.00 0.00 1 1
fig1-3b W1-P3-r790000-p64 P3 W1 790000 64 1 0 790000 0 0.010 0.5 0.5 0.5 0.5 - - - 1 1528 7 562.7 263.2 0.01 0.00 0.00 0 0
fig1-3b W1-P3-r790000-p64 P3 W1 790000 64 2 0 790000 100 0.009 18.5 41.5 91.5 121.5 - - - 1 1502 705 530.6 249.0 0.01 0.00 0.00 0 0
fig1-3b W1-P3-r790000-p64 P3 W1 790000 64 3 0 790000 97 0.010 19.5 39.5 77.5 99.5 - - - 1 1492 712 526.5 246.8 0.02 0.00 0.00 0 0
fig1-3b W1-P4-r1050000-p64 P4 W1 1050000 64 1 0 1050000 0 0.009 0.5 0.5 0.5 0.5 - - - 493 1157 6 537.8 251.2 0.00 0.00 0.00 0 0
fig1-3b W1-P4-r1050000-p64 P4 W1 1050000 64 2 0 1050000 0 0.008 0.5 0.5 0.5 0.5 - - - 1 1143 6 530.1 248.0 0.00 0.00 0.00 0 0
fig1-3b W1-P4-r1050000-p64 P4 W1 1050000 64 3 0 1050000 0 0.008 0.5 0.5 0.5 0.5 - - - 904 1285 7 552.6 258.7 0.00 0.00 0.00 0 0
fig1-3b W1-P4-r130000-p64 P4 W1 130000 64 1 0 130000 129367 1.006 17.5 26.5 30.5 36.5 - - - 1 1495 0 565.6 261.0 11.14 0.00 0.00 1 1
fig1-3b W1-P4-r130000-p64 P4 W1 130000 64 2 1 130000 129396 0.999 17.5 26.5 30.5 52.5 - - - 1 1473 0 557.0 257.0 11.43 0.00 0.00 1 1
fig1-3b W1-P4-r130000-p64 P4 W1 130000 64 3 1 130000 129399 0.999 17.5 26.5 30.5 44.5 - - - 1 1515 0 569.4 262.7 10.77 0.00 0.00 1 1
fig1-3b W1-P4-r1300000-p64 P4 W1 1300000 64 1 0 1300000 0 0.004 0.5 0.5 0.5 0.5 - - - 1 1442 10 551.5 260.5 0.00 0.00 0.00 0 0
fig1-3b W1-P4-r1300000-p64 P4 W1 1300000 64 2 0 1300000 0 0.005 0.5 0.5 0.5 0.5 - - - 1 1492 9 568.9 267.6 0.00 0.00 0.00 0 0
fig1-3b W1-P4-r1300000-p64 P4 W1 1300000 64 3 0 1300000 0 0.004 0.5 0.5 0.5 0.5 - - - 1 1486 9 570.4 268.3 0.02 0.00 0.00 0 0
fig1-3b W1-P4-r390000-p64 P4 W1 390000 64 1 1 390000 388177 0.999 17.5 26.5 30.5 34.5 - - - 1 1469 0 597.0 275.3 33.02 0.00 0.00 1 1
fig1-3b W1-P4-r390000-p64 P4 W1 390000 64 2 1 390000 388205 0.999 17.5 26.5 30.5 34.5 - - - 1 1433 0 547.7 252.6 32.94 0.00 0.00 1 1
fig1-3b W1-P4-r390000-p64 P4 W1 390000 64 3 1 390000 388201 0.999 17.5 26.5 30.5 35.5 - - - 1 1452 0 566.2 261.1 33.24 0.00 0.00 1 1
fig1-3b W1-P4-r525000-p64 P4 W1 525000 64 1 0 525000 198110 0.451 16.5 29.5 37.5 609.5 - - - 13702 1391 0 559.5 258.1 17.02 0.00 0.00 0 0
fig1-3b W1-P4-r525000-p64 P4 W1 525000 64 2 0 525000 522585 1.001 18.5 27.5 31.5 35.5 - - - 1 1490 0 528.3 243.6 46.35 0.00 0.00 1 1
fig1-3b W1-P4-r525000-p64 P4 W1 525000 64 3 0 525000 265555 0.565 16.5 29.5 36.5 347.5 - - - 11341 1399 0 587.5 270.9 23.50 0.00 0.00 0 0
fig1-3b W1-P4-r790000-p64 P4 W1 790000 64 1 0 790000 0 0.026 0.5 0.5 0.5 0.5 - - - 8112 1162 3 532.4 247.0 0.05 0.00 0.00 0 0
fig1-3b W1-P4-r790000-p64 P4 W1 790000 64 2 0 790000 0 0.031 0.5 0.5 0.5 0.5 - - - 456 1182 2 527.6 244.5 0.00 0.00 0.00 0 0
fig1-3b W1-P4-r790000-p64 P4 W1 790000 64 3 0 790000 92062 0.138 13.5 25.5 28.5 34.5 - - - 2890 1169 1 558.8 257.9 6.68 0.00 0.00 0 0
