tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s user_s nice_s system_s irq_s steal_s cpu8_busy_stat_s cpu9_busy_s cpu40_busy_s wire_ok layers_ok snd_full
fig1-3 W1-P0X-r1300000-p64 P0X W1 1300000 64 2 0 1300000 329221 0.258 357.5 1860.5 3643.5 4326.5 - - - 5642005 1358 1473 478.7 220.8 30.56 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P0X-r1300000-p64 P0X W1 1300000 64 3 0 1300000 318259 0.248 404.5 1809.5 3794.5 4446.5 - - - 5388827 1406 1523 479.0 220.9 30.54 0.00 0.00 - - - - - - - - 0 0 5
task1b W1-P0X-r390000-p64 P0X W1 390000 64 1 1 390000 388165 0.999 12.5 22.5 25.5 35.5 - - - 1 1110 1300 543.7 250.7 31.79 0.19 0.00 0.00 0.00 0.00 0.00 0.00 0.19 27.880133812615384 0.05963189969230769 1 1 5
task1b W1-P0X-r390000-p64 P0X W1 390000 64 2 1 390000 388165 0.999 12.5 22.5 25.5 35.5 - - - 1 1114 1306 537.6 247.9 31.93 0.24 0.00 0.00 0.00 0.01 0.00 0.00 0.25 27.98963362246154 0.043240056 1 1 5
task1b W1-P0X-r390000-p64 P0X W1 390000 64 3 1 390000 388141 0.999 12.5 22.5 25.5 35.5 - - - 1 1111 1303 543.6 250.7 31.85 0.33 0.00 0.00 0.00 0.01 0.00 0.00 0.34 27.92360825753846 0.04340794953846154 1 1 5
fig1-3 W1-P0X-r525000-p64 P0X W1 525000 64 1 0 525000 209624 0.399 18.5 69.5 221.5 340.5 - - - 0 1838 31 689.0 317.8 0.41 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W1-P0X-r525000-p64 P0X W1 525000 64 2 0 525000 312946 0.600 27.5 233.5 408.5 534.5 - - - 59 1228 28 503.2 232.1 0.56 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W1-P0X-r525000-p64 P0X W1 525000 64 3 0 525000 209633 0.399 22.5 140.5 252.5 300.5 - - - 0 1316 17 526.4 242.8 0.22 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W1-P0X-r790000-p64 P0X W1 790000 64 1 0 790000 374352 0.483 59.5 1284.5 2150.5 3329.5 - - - 2380907 1324 1295 510.9 235.6 30.55 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P0X-r790000-p64 P0X W1 790000 64 2 0 790000 284475 0.358 19.5 78.5 436.5 567.5 - - - 155 1631 1705 619.5 285.7 30.56 0.00 0.00 - - - - - - - - 0 0 5
