tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok snd_full
wedge-m0 W1-P2-r790000-p64 P2 W1 790000 64 1 0 632000 0 0.012 0.5 0.5 0.5 0.5 - - - 1 1447 8 521.3 244.3 0.06 0.00 0.00 0 0 4
wedge-m0 W1-P2-r790000-p64 P2 W1 790000 64 2 0 474000 0 0.016 0.5 0.5 0.5 0.5 - - - 1 1484 8 573.1 268.2 0.02 0.00 0.00 0 0 3
wedge-m0 W1-P2-r790000-p64 P2 W1 790000 64 3 0 790000 0 0.012 0.5 0.5 0.5 0.5 - - - 3347 1380 6 558.6 260.7 0.01 0.00 0.00 0 0 5
wedge-m0 W1-P2-r790000-p64 P2 W1 790000 64 4 0 0 106952 0.000 15.5 28.5 36.5 757.5 - - - 11039 1338 1 571.5 263.8 8.70 0.00 0.00 0 0 0
wedge-m0 W1-P3-r790000-p64 P3 W1 790000 64 1 0 316000 0 0.033 0.5 0.5 0.5 0.5 - - - 1 1180 5 534.8 249.5 0.01 0.00 0.00 0 0 2
wedge-m0 W1-P3-r790000-p64 P3 W1 790000 64 2 0 316000 0 0.095 0.5 0.5 0.5 0.5 - - - 1 1171 3 510.4 236.3 0.01 0.00 0.01 0 0 2
wedge-m0 W1-P3-r790000-p64 P3 W1 790000 64 3 0 316000 128100 0.637 12.5 23.5 26.5 33.5 - - - 2568 1147 0 531.2 245.0 8.82 0.00 0.00 0 0 2
wedge-m0 W1-P3-r790000-p64 P3 W1 790000 64 4 0 158000 0 0.052 0.5 0.5 0.5 0.5 - - - 1 1427 8 512.1 239.9 0.01 0.00 0.00 0 0 1
wedge-m0 W1-P4-r790000-p64 P4 W1 790000 64 1 0 474000 0 0.016 0.5 0.5 0.5 0.5 - - - 1 1486 7 550.9 258.0 0.01 0.00 0.00 0 0 3
wedge-m0 W1-P4-r790000-p64 P4 W1 790000 64 2 0 474000 0 0.060 0.5 0.5 0.5 0.5 - - - 3231 1176 2 508.0 235.3 0.01 0.00 0.00 0 0 3
wedge-m0 W1-P4-r790000-p64 P4 W1 790000 64 3 0 158000 0 0.096 0.5 0.5 0.5 0.5 - - - 1 1206 3 529.8 246.3 0.02 0.00 0.00 0 0 1
wedge-m0 W1-P4-r790000-p64 P4 W1 790000 64 4 0 790000 31 0.012 17.5 46.5 97.5 118.5 - - - 1 1474 2270 522.2 244.1 0.03 0.00 0.00 0 0 5
