commit,date,subsystem,symptom,trigger,sustaining_loop,recovers_when_load_drops,found_by,fix_type,introduced_by,lifetime_days,confidence
d15121be7485655129101f3960ae6add40204463,2023-05-09,softirq,starvation,overload,Y,Y,unknown,other,,,low
6a4763e268030362340bc3286560d44be15a7421,2022-08-11,driver:virtio_net,stall,config toggle,Y,N,test,re-check,,,low
2e642afb61b24401a7ec819d27ddcd69c7c29784,2022-05-31,driver:mlx5e,livelock,race,Y,N,production,barrier,bc77b240b3c5,2231,high
